gId,filename,catalog_timestamp_utc,station,event_id,case_type,status,on_disk,size_bytes,opens,has_CMK,has_Latitude,has_Longitude,has_time,time_utc_decoded,time_vs_catalog_minutes,satellite_name,sensor_name,manifest_match,error
9840126,3RIMG_24DEC2021_2215_L2B_CMK_V01R00.h5,2021-12-24T22:15:00Z,VIDP,VIDP_CTL_03_20220107T19,control,OK,True,9596553,True,True,True,True,True,2021-12-24T22:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9840286,3RIMG_25DEC2021_0015_L2B_CMK_V01R00.h5,2021-12-25T00:15:00Z,VIDP,VIDP_CTL_03_20220107T19,control,OK,True,9612623,True,True,True,True,True,2021-12-25T00:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9841457,3RIMG_25DEC2021_0645_L2B_CMK_V01R00.h5,2021-12-25T06:45:00Z,VIDP,VIDP_CTL_03_20220107T19,control,OK,True,9580094,True,True,True,True,True,2021-12-25T06:45:00Z,0.0,INSAT-3DR,IMAGER,True,
9842117,3RIMG_25DEC2021_0845_L2B_CMK_V01R00.h5,2021-12-25T08:45:00Z,VIDP,VIDP_CTL_03_20220107T19,control,OK,True,9560183,True,True,True,True,True,2021-12-25T08:45:00Z,0.0,INSAT-3DR,IMAGER,True,
9877886,3RIMG_07JAN2022_1715_L2B_CMK_V01R00.h5,2022-01-07T17:15:00Z,VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,OK,True,9626222,True,True,True,True,True,2022-01-07T17:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9878125,3RIMG_07JAN2022_2015_L2B_CMK_V01R00.h5,2022-01-07T20:15:00Z,VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,OK,True,9644416,True,True,True,True,True,2022-01-07T20:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9878374,3RIMG_07JAN2022_2315_L2B_CMK_V01R00.h5,2022-01-07T23:15:00Z,VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,OK,True,9649100,True,True,True,True,True,2022-01-07T23:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9878696,3RIMG_08JAN2022_0315_L2B_CMK_V01R00.h5,2022-01-08T03:15:00Z,VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,OK,True,9665697,True,True,True,True,True,2022-01-08T03:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9879010,3RIMG_08JAN2022_0615_L2B_CMK_V01R00.h5,2022-01-08T06:15:00Z,VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,OK,True,9650473,True,True,True,True,True,2022-01-08T06:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9879239,3RIMG_08JAN2022_0845_L2B_CMK_V01R00.h5,2022-01-08T08:45:00Z,VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,OK,True,9645174,True,True,True,True,True,2022-01-08T08:45:00Z,0.0,INSAT-3DR,IMAGER,True,
