grain,event_id,station,case_type,event_start_utc,event_end_utc,period,target_timestamp_utc,hourly_timestamp_utc,sat_observation_time_utc,sat_acquisition_end_utc,sat_age_minutes,sat_cloud_mask_at_station,sat_cloud_mask_class,sat_cloudy_fraction_25km,sat_clear_fraction_25km,sat_valid_pixel_count_25km,sat_observation_available,gId,source_filename,in_phase8b_hourly_universe
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T15:00:00Z,2024-04-22T15:00:00Z,,,,,,,,,0,,,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T16:00:00Z,2024-04-22T16:00:00Z,2024-04-22T14:45:00Z,2024-04-22T15:12:29Z,47.516666666666666,0.0,,0.4285714285714285,0.5714285714285714,98.0,1,13452631.0,3RIMG_22APR2024_1445_L2B_CMK_V01R00.h5,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T17:00:00Z,2024-04-22T17:00:00Z,,,,,,,,,0,,,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T18:00:00Z,2024-04-22T18:00:00Z,2024-04-22T16:45:00Z,2024-04-22T17:12:29Z,47.516666666666666,1.0,,0.8061224489795918,0.1938775510204081,98.0,1,13453089.0,3RIMG_22APR2024_1645_L2B_CMK_V01R00.h5,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T19:00:00Z,2024-04-22T19:00:00Z,,,,,,,,,0,,,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T20:00:00Z,2024-04-22T20:00:00Z,,,,,,,,,0,,,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T21:00:00Z,2024-04-22T21:00:00Z,,,,,,,,,0,,,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T22:00:00Z,2024-04-22T22:00:00Z,,,,,,,,,0,,,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T23:00:00Z,2024-04-22T23:00:00Z,,,,,,,,,0,,,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-23T00:00:00Z,2024-04-23T00:00:00Z,2024-04-22T23:15:00Z,2024-04-22T23:42:30Z,17.5,2.0,,0.2244897959183673,0.7755102040816326,98.0,1,13454345.0,3RIMG_22APR2024_2315_L2B_CMK_V01R00.h5,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-23T01:00:00Z,2024-04-23T01:00:00Z,2024-04-22T23:15:00Z,2024-04-22T23:42:30Z,77.5,2.0,,0.2244897959183673,0.7755102040816326,98.0,1,13454345.0,3RIMG_22APR2024_2315_L2B_CMK_V01R00.h5,True
scan,VECC_TS_01_20170619T10,VECC,thunderstorm_episode,2017-06-19T10:00:00Z,2017-06-20T01:00:00Z,pre_event,2017-06-19T10:00:00Z,,2017-06-19T08:15:00Z,2017-06-19T08:41:58Z,78.033,1.0,Cloudy,1.0,0.0,98.0,1,5088143,3RIMG_19JUN2017_0815_L2B_CMK_V01R00.h5,False
scan,VECC_TS_01_20170619T10,VECC,thunderstorm_episode,2017-06-19T10:00:00Z,2017-06-20T01:00:00Z,event,2017-06-19T10:00:00Z,,2017-06-19T12:15:00Z,2017-06-19T12:41:58Z,-161.967,1.0,Cloudy,1.0,0.0,98.0,1,5088907,3RIMG_19JUN2017_1215_L2B_CMK_V01R00.h5,False
scan,VECC_TS_01_20170619T10,VECC,thunderstorm_episode,2017-06-19T10:00:00Z,2017-06-20T01:00:00Z,event,2017-06-19T10:00:00Z,,2017-06-19T16:15:00Z,2017-06-19T16:41:58Z,-401.967,1.0,Cloudy,1.0,0.0,98.0,1,5089707,3RIMG_19JUN2017_1615_L2B_CMK_V01R00.h5,False
scan,VECC_TS_01_20170619T10,VECC,thunderstorm_episode,2017-06-19T10:00:00Z,2017-06-20T01:00:00Z,event,2017-06-19T10:00:00Z,,2017-06-19T19:15:00Z,2017-06-19T19:41:58Z,-581.967,1.0,Cloudy,1.0,0.0,98.0,1,5090272,3RIMG_19JUN2017_1915_L2B_CMK_V01R00.h5,False
scan,VECC_TS_01_20170619T10,VECC,thunderstorm_episode,2017-06-19T10:00:00Z,2017-06-20T01:00:00Z,event,2017-06-19T10:00:00Z,,2017-06-19T23:15:00Z,2017-06-19T23:41:58Z,-821.967,1.0,Cloudy,1.0,0.0,98.0,1,5091007,3RIMG_19JUN2017_2315_L2B_CMK_V01R00.h5,False
